Title,Company,Location,Desc,Link
Node.js (NestJS) 개발자,(주)오토피디아,서울전체,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어)",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42632343&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
크립토택스팀에서 node.js 개발자를 찾고 있어요,(주)더블엑스소프트,서울강남구,"Node.js, AWS, Java, MongoDB, MySQL",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45923866&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
Node.js 백엔드 개발자 채용,주식회사 엔디디,서울마포구,"Node.js, 백엔드/서버개발, 풀스택, 모델링, 인프라",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45871647&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
[계열사/모두의 코딩] Node.js 웹개발자(Full Stack) 채용,(주)휴넷,서울강남구,"Node.js, 웹개발, 풀스택, 솔루션, 클라우드",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46008011&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
[병역특례] 백엔드 개발(Node.js) 산업기능요원 모집,넛지헬스케어(주),서울전체,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, DBA",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44038475&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
[토스페이먼츠] Node.js Developer,(주)비바리퍼블리카,서울강남구,"Node.js, 인프라, AWS, Gulp, Javascript",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45714621&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
Java/Node.js 개발 경력자 채용,(주)에임메드,서울강남구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어)",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46012209&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
Java/Node.js 백엔드 개발 경력자 채용,(주)에임메드,서울강남구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어)",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46012199&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
"Backend Developer(Node.js, 3년 이상, 보충역 지원 가능)",(주)이제이엔,서울강남구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, DBA",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42123184&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
상점파트 Back-end Engineer (Node.JS),(주)바로고,서울전체,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, DBA",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45210973&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
Node.JS 백엔드 엔지니어,(주)풀랩,서울전체,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, 인프라",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44574175&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
Node.js Back-End 개발자 경력 채용,(주)팬마음,서울강남구,"Node.js, 백엔드/서버개발, 인프라, API, AWS",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45944198&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
백엔드 에이전트 개발자(Node.js),(주)와탭랩스,서울서초구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, DBA",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44737447&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
"IT개발·데이터(풀스택, JQuery & Node.js 外 2개 부문) 채용",(주)시지온,서울중구,"Node.js, jQuery, ReactJS, 풀스택, 솔루션",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45852333&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
IT개발·데이터(Node.js/MongoDB外 2개 부문) 모집합니다,(주)큐브릭디지털,서울금천구,"Node.js, 백엔드/서버개발, 미들웨어, Docker, Kubernetes",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45898401&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
백엔드 경력개발자를 모집합니다. / node js. DB restAPI,(주)인프라칩,서울강남구,"Node.js, API, RestAPI, DB, 소프트웨어개발",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45931811&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
"Back-end 개발자(Node.js, React, Express, Next.js)(병특가능)",(주)딥브레인에이아이,서울강남구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, ECMAScript",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45408827&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
"Front-end 엔지니어(React, Node.js)(병특가능)",(주)딥브레인에이아이,서울강남구,"Node.js, 웹개발, 프론트엔드, 딥러닝, 머신러닝",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45408647&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
"Javascript, Node.js 기반 웹 프론트엔드 개발자",(주)페르미,서울전체,"Node.js, 웹개발, 퍼블리셔, 프론트엔드, SE(시스템엔지니어)",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42801875&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
[팬플러스] 백엔드(Node.js) 개발자 병역특례_보충역 모집,(주)팬마음,서울강남구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, 인프라",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44647780&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
백엔드(Node.js) 개발자,한류뱅크(주),서울전체,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, ECMAScript",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45788447&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
[경력] 백엔드 Ruby/Node.js/AWS,(주)큐픽스,경기전체,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, ECMAScript",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=43427758&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
"[경력 2년이상] SSL VPN 백엔드개발 (Node.js, Linux)",보보스링크(주),서울성동구,"Node.js, 백엔드/서버개발, API, 네트워크, 방화벽",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45993171&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
Node.js 백엔드 개발,(주)챔프스터디,서울서초구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, DBA",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45873524&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=1408bb42-8089-4c23-890d-f7a1e29fda29
"웹 플랫폼 백엔드 개발 [Javascript (Node.js), PHP7, PHP8]",(주)스카우트플랜,서울서초구,"Node.js, 백엔드/서버개발, Javascript, NoSQL, PHP",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45935983&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
"IT개발·데이터(Node.js, React, PHP) 채용",(주)올이브이,서울금천구,"Node.js, PHP, React, 인프라, 풀스택",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45980582&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
"R&D 개발 신입 모집합니다(정규직, python, node.js)",(주)제트플로우,서울중구,"Node.js, 백엔드/서버개발, 머신러닝, 메타버스, 풀스택",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45734308&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
Node.js 기반 경력 웹 개발자 모집,(주)유닛미,서울마포구,"Node.js, 백엔드/서버개발, 앱개발, 웹개발, RDBMS",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45847229&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
"모바일 앱&웹 백엔드 개발자 / AWS, Dynamo DB, Node.js",(주)위아프렌즈,서울송파구,"Node.js, 앱개발, 웹개발, AWS, Javascript",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45873856&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
"모바일 앱&웹 백엔드 개발자 / AWS, Dynamo DB, Node.js",(주)위아프렌즈,서울송파구,"Node.js, 백엔드/서버개발, 앱개발, 웹개발, RDBMS",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45909885&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
"시니어 개발자 (Node.js, React)",(주)크렐로,서울강남구,"Node.js, 백엔드/서버개발, 웹개발, AWS, C++",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45847809&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
"시니어 개발자(Node.js, React)",(주)크렐로,서울강남구,"Node.js, 백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45881387&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
백엔드 서버 개발자 (node.js),(주)스마트잭,서울성동구,"Node.js, 백엔드/서버개발, 인프라, API, RDBMS",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45885690&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[STO 투자 플랫폼] 백엔드 Node.js 개발자 채용,주식회사 에버트레져,서울구로구,"Node.js, 백엔드/서버개발, 앱개발, 웹개발, 웹표준·웹접근성",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45807247&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
백엔드 Node.js 개발자 (3년 이상),(주)문토,서울강남구,"Node.js, 백엔드/서버개발, 앱개발, 네트워크, AWS",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45878996&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[푸드테크 스타트업] Node.js 백엔드 개발자,리플라이랩(주),서울강남구,"Node.js, 백엔드/서버개발, API, RDBMS, TypeScript",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45908644&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[엠펀치] Node.js 서버 개발자(경력) 채용,(주)엠펀치,서울마포구,"Node.js, 백엔드/서버개발, Javascript, AWS, Git",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45637898&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[BackEnd] Node.js 개발자,(주)엔포트버스,서울마포구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, 블록체인",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=43386804&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
node.js 개발자 (3년 이상),(주)스타일씨코퍼레이션,서울마포구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, 인프라",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45723868&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
"[양재역] 백엔드(Node.js,React,SQL)",(주)시니어앤파트너즈,서울서초구,"Node.js, 백엔드/서버개발, API, Javascript, MySQL",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45966812&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[성수동] Node.js Devops 개발자,(주)시니어앤파트너즈,서울성동구,"Node.js, 클라우드, DevOps, AWS, Docker",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46001178&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[서울대병원 1호 스타트업] 2023 하반기 대규모 인재채용,메디컬아이피(주),서울종로구,"Node.js, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 프론트엔드",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45957952&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[현대오토에버] 전 부문 경력직 채용,현대오토에버(주),서울강남구,"Node.js, 기술지원, 데이터분석가, 백엔드/서버개발, 보안컨설팅",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45716121&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
2023년 상반기 각 부문 신입/경력 상시 채용,(주)코난테크놀로지,서울서초구,"Node.js, 기술지원, 데이터분석가, 백엔드/서버개발, 보안컨설팅",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44948146&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
솔로몬텍 분야별 IT인재 채용,(주)솔로몬텍,서울영등포구,"Node.js, 기술지원, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45814510&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
딥노이드 신입 ·경력 채용공고,(주)딥노이드,서울구로구,"Node.js, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45750005&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[SK그룹 계열사 ㈜더비즈] 각 부문별 신입/경력 채용,(주)더비즈,서울서초구,"Node.js, 백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45749512&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[패스오더] 급성장중인 스타트업 ‘전직군’ 대규모 채용,(주)페이타랩,서울강남구,"Node.js, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45980213&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
케이웨더㈜ 신입/경력 공개채용,케이웨더(주),서울구로구,"Node.js, 기술지원, 백엔드/서버개발, 유지보수, 프론트엔드",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45772640&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
"태광그룹 ㈜티시스아이티 우수 ""IT 기술 리더"" 영입",주식회사 티시스 아이티,서울중구,"Node.js, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45839144&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[하나금융그룹 자회사] 경력직 수시 채용,(주)핀크,서울중구,"백엔드/서버개발, 웹개발, 정보보안, 퍼블리셔, 프론트엔드",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45986639&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
도미노피자 자회사 공개채용,청오디피케이(주),서울강남구,"Node.js, 백엔드/서버개발, 보안컨설팅, 웹개발, 웹마스터",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45824823&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
솔루션 Java 프로그래머 모집(신입사원 집합교육),(주)투비웨이,경기성남시 분당구,"Node.js, 데이터엔지니어, 백엔드/서버개발, 웹개발, 프론트엔드",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45965578&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[온누리약국 체인법인] 2023년 부문별 신입/경력 공개채용,(주)파이토웨이,서울강남구,"Node.js, 백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어)",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45616646&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[교육비 전액 무료] 인텔 코리아 인공지능 인재 양성과정 교육생,한국표준협회,서울중구,"Node.js, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45987302&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
"㈜건양아이티티 영업,전산,기계설계,생산 인재채용",(주)건양아이티티,부산강서구,"Node.js, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45922293&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[코스닥 상장사] 웹 프론트엔드 개발자 채용,알서포트(주),서울송파구,"Node.js, 웹개발, 퍼블리셔, 프론트엔드, 반응형웹",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46003096&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
각 분야 채용공고,(주)디모아,서울용산구,"Node.js, 데이터엔지니어, 유지보수, SE(시스템엔지니어), 빅데이터",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45385266&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[직영] DYB최선어학원 각 부문 STAFF 모집,(주)DYB최선어학원,서울강남구,"Node.js, 영상처리, Ajax, AWS, HTML",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45784133&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
(주)라톤테크 JAVA 개발자 모집(신입/경력),(주)라톤테크,서울금천구,"Node.js, 기술지원, 웹개발, 정보보안, 솔루션",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45987537&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
[에듀테크 스타트업 오누이] 분야별 채용,(주)오누이,서울마포구,"Node.js, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45882393&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
시스템 엔지니어 신입 및 경력 모집,인터리젠(주),서울강남구,"Node.js, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45994808&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
전 직무 채용 [물류자동화/개발/설계/PM/기획/영업],(주)원익로보틱스,경기성남시 분당구,"Node.js, 백엔드/서버개발, 앱개발, 웹개발, 딥러닝",saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45721504&location=ts&searchword=NODEJS&searchType=search&paid_fl=n&search_uuid=cd457489-0585-4fa6-853e-085bc68dea8f
